type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative
0,10,11,1,13,1,0.99,62.0,0.0,0.0,136.0
0,10,12,1,13,1,0.985,61.0,1.0,0.0,136.0
0,10,13,1,13,1,0.99,61.0,0.0,0.0,137.0
0,10,14,1,13,1,0.98,58.0,2.0,0.0,138.0
0,10,15,1,13,1,0.975,66.0,3.0,0.0,129.0
0,10,16,1,13,1,0.98,64.0,2.0,0.0,132.0
0,10,17,1,13,1,0.965,64.0,2.0,3.0,129.0
0,10,18,1,13,1,0.98,60.0,1.0,1.0,136.0
0,10,19,1,13,1,0.985,69.0,1.0,0.0,128.0
0,10,20,1,13,1,0.97,52.0,0.0,4.0,142.0
0,10,21,1,13,1,0.985,50.0,1.0,0.0,147.0
0,10,22,1,13,1,0.975,63.0,2.0,1.0,132.0
0,10,23,1,13,1,0.98,56.0,2.0,0.0,140.0
0,10,24,1,13,1,0.98,56.0,2.0,0.0,140.0
0,11,0,1,14,1,0.98,102.0,0.0,2.0,94.0
0,11,1,1,14,1,0.985,116.0,1.0,0.0,81.0
0,11,2,1,14,1,0.97,105.0,4.0,0.0,89.0
0,11,3,1,14,1,0.985,103.0,1.0,0.0,94.0
0,11,4,1,14,1,0.98,100.0,0.0,2.0,96.0
0,11,5,1,14,1,0.975,102.0,0.0,3.0,93.0
0,11,6,1,14,1,0.98,94.0,1.0,1.0,102.0
0,11,7,1,14,1,0.985,101.0,0.0,1.0,96.0
0,11,8,1,14,1,0.98,111.0,1.0,1.0,85.0
0,11,9,1,14,1,0.975,108.0,1.0,2.0,87.0
0,11,10,1,14,1,0.97,104.0,2.0,2.0,90.0
0,11,11,1,14,1,0.98,101.0,1.0,1.0,95.0
0,11,12,1,14,1,0.985,99.0,0.0,1.0,98.0
0,11,13,1,14,1,0.985,113.0,0.0,1.0,84.0
0,11,14,1,14,1,0.98,103.0,1.0,1.0,93.0
0,11,15,1,14,1,0.975,99.0,0.0,3.0,96.0
0,11,16,1,14,1,0.97,106.0,1.0,3.0,88.0
0,11,17,1,14,1,0.985,101.0,1.0,0.0,96.0
0,11,18,1,14,1,0.98,104.0,1.0,1.0,92.0
0,11,19,1,14,1,0.975,112.0,1.0,2.0,83.0
0,11,20,1,14,1,0.98,112.0,1.0,1.0,84.0
0,11,21,1,14,1,0.965,102.0,2.0,3.0,91.0
0,11,22,1,14,1,0.98,104.0,1.0,1.0,92.0
0,11,23,1,14,1,0.985,106.0,0.0,1.0,91.0
0,11,24,1,14,1,0.98,87.0,2.0,0.0,109.0
0,12,0,1,15,1,0.98,114.0,1.0,1.0,82.0
0,12,1,1,15,1,0.975,105.0,2.0,1.0,90.0
0,12,2,1,15,1,0.98,118.0,1.0,1.0,78.0
0,12,3,1,15,1,0.98,117.0,2.0,0.0,79.0
0,12,4,1,15,1,0.98,107.0,2.0,0.0,89.0
0,12,5,1,15,1,0.975,116.0,0.0,3.0,79.0
0,12,6,1,15,1,0.985,109.0,1.0,0.0,88.0
0,12,7,1,15,1,0.985,108.0,1.0,0.0,89.0
0,12,8,1,15,1,0.975,98.0,1.0,2.0,97.0
0,12,9,1,15,1,0.98,105.0,2.0,0.0,91.0
0,12,10,1,15,1,0.97,114.0,3.0,1.0,80.0
0,12,11,1,15,1,0.985,112.0,0.0,1.0,85.0
0,12,12,1,15,1,0.97,108.0,1.0,3.0,86.0
0,12,13,1,15,1,0.985,121.0,0.0,1.0,76.0
