type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative,runtime
0,10,20,1,13,1,0.915,57.0,15.0,1.0,126.0,2.8782176971435547
0,10,21,1,13,1,0.94,63.0,10.0,1.0,125.0,3.113412618637085
0,10,22,1,13,1,0.895,68.0,19.0,1.0,111.0,2.9925427436828613
0,10,23,1,13,1,0.87,63.0,20.0,5.0,111.0,2.8402774333953857
0,10,24,1,13,1,0.92,64.0,14.0,1.0,120.0,3.1197855472564697
0,11,0,1,14,1,0.945,178.0,0.0,10.0,11.0,3.1357643604278564
0,11,1,1,14,1,0.95,178.0,1.0,8.0,12.0,3.105705738067627
0,11,2,1,14,1,0.955,186.0,0.0,8.0,5.0,3.35992431640625
0,11,3,1,14,1,0.97,183.0,2.0,3.0,11.0,3.327483892440796
0,11,4,1,14,1,0.96,180.0,0.0,7.0,12.0,3.0514345169067383
0,11,5,1,14,1,0.96,184.0,2.0,5.0,8.0,3.435021162033081
0,11,6,1,14,1,0.955,185.0,0.0,8.0,6.0,2.8821938037872314
0,11,7,1,14,1,0.96,181.0,2.0,5.0,11.0,3.202287197113037
0,11,8,1,14,1,0.96,183.0,0.0,7.0,9.0,3.5652499198913574
0,11,9,1,14,1,0.94,178.0,0.0,11.0,10.0,3.0295217037200928
0,11,10,1,14,1,0.96,183.0,1.0,6.0,9.0,3.0071463584899902
0,11,11,1,14,1,0.925,176.0,4.0,10.0,9.0,2.8454642295837402
0,11,12,1,14,1,0.96,177.0,0.0,7.0,15.0,3.0354535579681396
0,11,13,1,14,1,0.95,182.0,0.0,9.0,8.0,3.377317428588867
0,11,14,1,14,1,0.965,186.0,1.0,5.0,7.0,3.5938050746917725
0,11,15,1,14,1,0.96,185.0,1.0,6.0,7.0,3.447789430618286
0,11,16,1,14,1,0.945,179.0,1.0,9.0,10.0,3.124455213546753
0,11,17,1,14,1,0.965,182.0,1.0,5.0,11.0,2.9434831142425537
0,11,18,1,14,1,0.96,184.0,0.0,7.0,8.0,3.2743701934814453
0,11,19,1,14,1,0.965,183.0,0.0,6.0,10.0,3.1479341983795166
0,11,20,1,14,1,0.935,177.0,1.0,11.0,10.0,3.3666117191314697
0,11,21,1,14,1,0.95,184.0,2.0,7.0,6.0,3.368039131164551
0,11,22,1,14,1,0.945,178.0,2.0,8.0,11.0,3.376528024673462
0,11,23,1,14,1,0.965,180.0,0.0,6.0,13.0,3.1743102073669434
0,11,24,1,14,1,0.96,179.0,1.0,6.0,13.0,3.34989857673645
0,12,0,1,15,1,0.97,182.0,2.0,3.0,12.0,3.785290002822876
0,12,1,1,15,1,0.93,171.0,2.0,11.0,15.0,3.476696014404297
0,12,2,1,15,1,0.955,180.0,3.0,5.0,11.0,3.5697593688964844
0,12,3,1,15,1,0.955,183.0,0.0,8.0,8.0,3.0899808406829834
0,12,4,1,15,1,0.955,176.0,3.0,5.0,15.0,3.4068708419799805
0,12,5,1,15,1,0.945,181.0,1.0,9.0,8.0,3.2939558029174805
0,12,6,1,15,1,0.935,176.0,1.0,11.0,11.0,3.140068531036377
0,12,7,1,15,1,0.945,178.0,2.0,8.0,11.0,3.067521333694458
0,12,8,1,15,1,0.955,177.0,1.0,7.0,14.0,3.1705856323242188
0,12,9,1,15,1,0.92,167.0,1.0,14.0,17.0,3.374086618423462
0,12,10,1,15,1,0.935,176.0,0.0,12.0,11.0,3.3645029067993164
0,12,11,1,15,1,0.94,177.0,1.0,10.0,11.0,3.3106274604797363
0,12,12,1,15,1,0.96,175.0,1.0,6.0,17.0,3.2802250385284424
0,12,13,1,15,1,0.95,186.0,0.0,9.0,4.0,3.071159601211548
0,12,14,1,15,1,0.93,172.0,3.0,10.0,14.0,3.4221718311309814
0,12,15,1,15,1,0.945,173.0,1.0,9.0,16.0,2.9500715732574463
0,12,16,1,15,1,0.95,173.0,2.0,7.0,17.0,3.211467742919922
0,12,17,1,15,1,0.945,175.0,3.0,7.0,14.0,3.3674230575561523
0,12,18,1,15,1,0.95,181.0,1.0,8.0,9.0,3.216669797897339
0,12,19,1,15,1,0.94,181.0,1.0,10.0,7.0,3.200390577316284
0,12,20,1,15,1,0.925,168.0,3.0,11.0,17.0,3.4211502075195312
0,12,21,1,15,1,0.955,181.0,2.0,6.0,10.0,2.9014811515808105
0,12,22,1,15,1,0.95,182.0,1.0,8.0,8.0,3.2473788261413574
0,12,23,1,15,1,0.955,179.0,0.0,8.0,12.0,2.977240562438965
0,12,24,1,15,1,0.945,175.0,0.0,10.0,14.0,3.336090326309204
0,13,0,1,16,1,0.91,30.0,14.0,3.0,152.0,4.039130687713623
0,13,1,1,16,1,0.925,31.0,12.0,2.0,154.0,3.4922080039978027
0,13,2,1,16,1,0.895,27.0,19.0,1.0,152.0,3.610630512237549
0,13,3,1,16,1,0.925,31.0,11.0,3.0,154.0,3.663081169128418
0,13,4,1,16,1,0.94,30.0,7.0,4.0,158.0,3.424333333969116
0,13,5,1,16,1,0.92,26.0,14.0,1.0,158.0,3.020505428314209
0,13,6,1,16,1,0.875,35.0,22.0,2.0,140.0,4.107368230819702
