type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative,runtime
0,8,4,1,11,1,0.99,2.0,1.0,0.0,196.0,0.16243839263916016
0,8,5,1,11,1,0.99,3.0,1.0,0.0,195.0,0.14564871788024902
0,8,6,1,11,1,0.99,3.0,1.0,0.0,195.0,0.15003633499145508
0,8,7,1,11,1,0.99,4.0,1.0,0.0,194.0,0.15059518814086914
0,8,8,1,11,1,0.99,5.0,1.0,0.0,193.0,0.16296958923339844
0,8,9,1,11,1,0.99,3.0,1.0,0.0,195.0,0.14696311950683594
0,8,10,1,11,1,0.99,1.0,1.0,0.0,197.0,0.14969658851623535
0,8,11,1,11,1,0.985,1.0,1.0,1.0,196.0,0.15624165534973145
0,8,12,1,11,1,0.99,6.0,1.0,0.0,192.0,0.14914989471435547
0,8,13,1,11,1,0.99,3.0,1.0,0.0,195.0,0.14981842041015625
0,8,14,1,11,1,0.99,8.0,1.0,0.0,190.0,0.16896557807922363
0,8,15,1,11,1,0.99,3.0,1.0,0.0,195.0,0.17138028144836426
0,8,16,1,11,1,0.99,4.0,1.0,0.0,194.0,0.15301084518432617
0,8,17,1,11,1,0.99,6.0,1.0,0.0,192.0,0.15558528900146484
0,8,18,1,11,1,0.99,2.0,1.0,0.0,196.0,0.1458117961883545
0,8,19,1,11,1,0.99,2.0,1.0,0.0,196.0,0.15025711059570312
0,8,20,1,11,1,0.99,5.0,1.0,0.0,193.0,0.14404797554016113
0,8,21,1,11,1,0.99,5.0,1.0,0.0,193.0,0.14414596557617188
0,8,22,1,11,1,0.99,3.0,1.0,0.0,195.0,0.14696288108825684
0,8,23,1,11,1,0.99,3.0,1.0,0.0,195.0,0.1488795280456543
0,8,24,1,11,1,0.99,2.0,1.0,0.0,196.0,0.14746737480163574
0,9,0,1,12,1,0.985,51.0,2.0,0.0,146.0,0.15462541580200195
0,9,1,1,12,1,0.99,53.0,1.0,0.0,145.0,0.1535191535949707
0,9,2,1,12,1,0.99,65.0,1.0,0.0,133.0,0.16446232795715332
0,9,3,1,12,1,0.975,51.0,1.0,3.0,144.0,0.14009404182434082
0,9,4,1,12,1,0.985,52.0,1.0,1.0,145.0,0.1590132713317871
0,9,5,1,12,1,0.985,67.0,2.0,0.0,130.0,0.164689302444458
0,9,6,1,12,1,0.99,73.0,1.0,0.0,125.0,0.14446496963500977
0,9,7,1,12,1,0.99,53.0,1.0,0.0,145.0,0.15313434600830078
0,9,8,1,12,1,0.985,62.0,1.0,1.0,135.0,0.1532130241394043
0,9,9,1,12,1,0.99,57.0,0.0,1.0,141.0,0.15700864791870117
0,9,10,1,12,1,0.985,71.0,1.0,1.0,126.0,0.1551370620727539
0,9,11,1,12,1,0.985,58.0,1.0,1.0,139.0,0.15206527709960938
0,9,12,1,12,1,0.985,54.0,0.0,2.0,143.0,0.15910887718200684
0,9,13,1,12,1,0.99,67.0,1.0,0.0,131.0,0.1388394832611084
0,9,14,1,12,1,0.985,54.0,0.0,2.0,143.0,0.16286492347717285
0,9,15,1,12,1,0.99,55.0,0.0,1.0,143.0,0.15890955924987793
0,9,16,1,12,1,0.985,57.0,0.0,2.0,140.0,0.16126561164855957
0,9,17,1,12,1,0.98,53.0,3.0,0.0,143.0,0.14643025398254395
0,9,18,1,12,1,0.98,67.0,1.0,2.0,129.0,0.15765833854675293
0,9,19,1,12,1,0.99,67.0,0.0,1.0,131.0,0.15433144569396973
0,9,20,1,12,1,0.985,59.0,1.0,1.0,138.0,0.15492939949035645
0,9,21,1,12,1,0.99,54.0,1.0,0.0,144.0,0.14906883239746094
0,9,22,1,12,1,0.99,56.0,1.0,0.0,142.0,0.15161943435668945
0,9,23,1,12,1,0.99,52.0,1.0,0.0,146.0,0.15401601791381836
0,9,24,1,12,1,0.99,62.0,1.0,0.0,136.0,0.15515875816345215
0,10,0,1,13,1,0.99,77.0,1.0,0.0,121.0,0.14699339866638184
0,10,1,1,13,1,0.98,76.0,2.0,1.0,120.0,0.15001296997070312
0,10,2,1,13,1,0.985,84.0,0.0,2.0,113.0,0.15105056762695312
0,10,3,1,13,1,0.985,64.0,2.0,0.0,133.0,0.15222501754760742
0,10,4,1,13,1,0.985,79.0,0.0,2.0,118.0,0.1695718765258789
0,10,5,1,13,1,0.98,83.0,2.0,1.0,113.0,0.15562200546264648
0,10,6,1,13,1,0.985,73.0,2.0,0.0,124.0,0.15912771224975586
0,10,7,1,13,1,0.985,68.0,0.0,2.0,129.0,0.1585242748260498
0,10,8,1,13,1,0.98,83.0,1.0,2.0,113.0,0.14721155166625977
0,10,9,1,13,1,0.99,76.0,1.0,0.0,122.0,0.15646576881408691
0,10,10,1,13,1,0.985,78.0,1.0,1.0,119.0,0.16874074935913086
0,10,11,1,13,1,0.985,73.0,0.0,2.0,124.0,0.15268921852111816
0,10,12,1,13,1,0.985,80.0,0.0,2.0,117.0,0.15658211708068848
0,10,13,1,13,1,0.98,70.0,1.0,2.0,126.0,0.15616536140441895
0,10,14,1,13,1,0.985,70.0,1.0,1.0,127.0,0.1489429473876953
0,10,15,1,13,1,0.99,78.0,0.0,1.0,120.0,0.15903019905090332
0,10,16,1,13,1,0.985,76.0,1.0,1.0,121.0,0.15359759330749512
0,10,17,1,13,1,0.985,88.0,2.0,0.0,109.0,0.15448975563049316
0,10,18,1,13,1,0.99,76.0,1.0,0.0,122.0,0.1678605079650879
0,10,19,1,13,1,0.985,79.0,2.0,0.0,118.0,0.1555318832397461
0,10,20,1,13,1,0.985,83.0,1.0,1.0,114.0,0.1452009677886963
0,10,21,1,13,1,0.985,63.0,2.0,0.0,134.0,0.14812898635864258
0,10,22,1,13,1,0.99,92.0,1.0,0.0,106.0,0.14312458038330078
0,10,23,1,13,1,0.98,80.0,2.0,1.0,116.0,0.15781688690185547
0,10,24,1,13,1,0.99,81.0,1.0,0.0,117.0,0.1642143726348877
0,11,0,1,14,1,0.985,175.0,0.0,2.0,22.0,0.1539907455444336
0,11,1,1,14,1,0.985,175.0,1.0,1.0,22.0,0.15001201629638672
0,11,2,1,14,1,0.985,171.0,1.0,1.0,26.0,0.16992974281311035
0,11,3,1,14,1,0.99,176.0,0.0,1.0,22.0,0.16703200340270996
0,11,4,1,14,1,0.99,167.0,0.0,1.0,31.0,0.15047764778137207
0,11,5,1,14,1,0.985,176.0,1.0,1.0,21.0,0.15898823738098145
0,11,6,1,14,1,0.985,177.0,1.0,1.0,20.0,0.15325927734375
0,11,7,1,14,1,0.985,182.0,2.0,0.0,15.0,0.14966940879821777
0,11,8,1,14,1,0.99,175.0,0.0,1.0,23.0,0.1593332290649414
0,11,9,1,14,1,0.99,171.0,0.0,1.0,27.0,0.17929863929748535
0,11,10,1,14,1,0.985,167.0,2.0,0.0,30.0,0.15510869026184082
0,11,11,1,14,1,0.99,168.0,0.0,1.0,30.0,0.15069150924682617
0,11,12,1,14,1,0.975,172.0,3.0,1.0,23.0,0.1564788818359375
0,11,13,1,14,1,0.99,176.0,0.0,1.0,22.0,0.1664423942565918
0,11,14,1,14,1,0.99,175.0,0.0,1.0,23.0,0.15900015830993652
