type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative
0,11,5,1,14,1,0.985,18.0,0.0,1.0,179.0
0,11,6,1,14,1,0.985,17.0,1.0,0.0,180.0
0,11,7,1,14,1,0.985,13.0,1.0,0.0,184.0
0,11,8,1,14,1,0.985,15.0,1.0,0.0,182.0
0,11,9,1,14,1,0.985,14.0,1.0,0.0,183.0
0,11,10,1,14,1,0.985,20.0,1.0,0.0,177.0
0,11,11,1,14,1,0.975,17.0,2.0,1.0,178.0
0,11,12,1,14,1,0.985,17.0,1.0,0.0,180.0
0,11,13,1,14,1,0.98,10.0,2.0,0.0,186.0
0,11,14,1,14,1,0.985,19.0,1.0,0.0,178.0
0,11,15,1,14,1,0.985,16.0,0.0,1.0,181.0
0,11,16,1,14,1,0.985,14.0,1.0,0.0,183.0
0,11,17,1,14,1,0.985,14.0,0.0,1.0,183.0
0,11,18,1,14,1,0.98,18.0,2.0,0.0,178.0
0,11,19,1,14,1,0.98,19.0,1.0,1.0,177.0
0,11,20,1,14,1,0.985,13.0,1.0,0.0,184.0
0,11,21,1,14,1,0.985,13.0,0.0,1.0,184.0
0,11,22,1,14,1,0.975,20.0,1.0,2.0,175.0
0,11,23,1,14,1,0.985,17.0,1.0,0.0,180.0
0,11,24,1,14,1,0.98,19.0,1.0,1.0,177.0
0,12,0,1,15,1,0.98,144.0,0.0,2.0,52.0
0,12,1,1,15,1,0.98,157.0,1.0,1.0,39.0
0,12,2,1,15,1,0.98,139.0,0.0,2.0,57.0
0,12,3,1,15,1,0.98,155.0,2.0,0.0,41.0
0,12,4,1,15,1,0.97,144.0,2.0,2.0,50.0
0,12,5,1,15,1,0.98,148.0,2.0,0.0,48.0
0,12,6,1,15,1,0.97,140.0,3.0,1.0,54.0
0,12,7,1,15,1,0.975,130.0,3.0,0.0,65.0
0,12,8,1,15,1,0.98,150.0,1.0,1.0,46.0
0,12,9,1,15,1,0.97,135.0,2.0,2.0,59.0
0,12,10,1,15,1,0.975,144.0,2.0,1.0,51.0
0,12,11,1,15,1,0.985,150.0,0.0,1.0,47.0
0,12,12,1,15,1,0.985,143.0,0.0,1.0,54.0
0,12,13,1,15,1,0.975,143.0,2.0,1.0,52.0
0,12,14,1,15,1,0.97,146.0,2.0,2.0,48.0
0,12,15,1,15,1,0.97,142.0,3.0,1.0,52.0
0,12,16,1,15,1,0.985,146.0,1.0,0.0,51.0
0,12,17,1,15,1,0.97,137.0,3.0,1.0,57.0
0,12,18,1,15,1,0.975,150.0,1.0,2.0,45.0
0,12,19,1,15,1,0.98,145.0,1.0,1.0,51.0
0,12,20,1,15,1,0.98,146.0,2.0,0.0,50.0
0,12,21,1,15,1,0.985,145.0,1.0,0.0,52.0
0,12,22,1,15,1,0.98,146.0,2.0,0.0,50.0
0,12,23,1,15,1,0.985,149.0,0.0,1.0,48.0
0,12,24,1,15,1,0.985,141.0,1.0,0.0,56.0
0,13,0,1,16,1,0.98,130.0,1.0,1.0,66.0
0,13,1,1,16,1,0.97,121.0,2.0,2.0,73.0
0,13,2,1,16,1,0.975,117.0,1.0,2.0,78.0
0,13,3,1,16,1,0.98,132.0,0.0,2.0,64.0
0,13,4,1,16,1,0.98,126.0,1.0,1.0,70.0
0,13,5,1,16,1,0.98,116.0,1.0,1.0,80.0
0,13,6,1,16,1,0.98,126.0,1.0,1.0,70.0
0,13,7,1,16,1,0.98,113.0,1.0,1.0,83.0
